chem_name,prod_name
Caffeine,Clinique Smart™ Custom-Repair Serum
Caprylyl Glycol,Clinique Smart™ Custom-Repair Serum
Glycerin,Clinique Smart™ Custom-Repair Serum
Phenoxyethanol,Clinique Smart™ Custom-Repair Serum
Propylene Glycol,Clinique Smart™ Custom-Repair Serum
Sodium Hyaluronate,Clinique Smart™ Custom-Repair Serum
Phenoxyethanol,Coconut Crush Scrub
Phenoxyethanol,Coconut Lip Glossy
Phenoxyethanol,Hello FAB Coconut Water Cream
Phenoxyethanol,Collagen Booster Firming Peptide Serum
Biotin,Complete Eye Renewal Balm
Butylene Glycol,Complete Eye Renewal Balm
Caffeine,Complete Eye Renewal Balm
Caprylyl Glycol,Complete Eye Renewal Balm
Cetearyl Alcohol,Complete Eye Renewal Balm
Dimethicone,Complete Eye Renewal Balm
Glycerin,Complete Eye Renewal Balm
Magnesium,Complete Eye Renewal Balm
Phenoxyethanol,Complete Eye Renewal Balm
Allantoin,Counter Balance™ Oil Control Hydrator
Butylene Glycol,Counter Balance™ Oil Control Hydrator
Caprylyl Glycol,Counter Balance™ Oil Control Hydrator
Dimethicone,Counter Balance™ Oil Control Hydrator
Glycerin,Counter Balance™ Oil Control Hydrator
Lactic Acid,Counter Balance™ Oil Control Hydrator
Phenoxyethanol,Counter Balance™ Oil Control Hydrator
Sodium Hyaluronate,Counter Balance™ Oil Control Hydrator
Phenoxyethanol,Crème Ancienne®
Phenoxyethanol,D-Bronzi Anti-Pollution Bronzing Drops
Allantoin,Daily Microfoliant Exfoliator
Colloidal Oatmeal,Daily Microfoliant Exfoliator
Magnesium,Daily Microfoliant Exfoliator
Arbutin,Microneedling Dark Spot Brightening Dots
Caprylyl Glycol,Microneedling Dark Spot Brightening Dots
Glycerin,Microneedling Dark Spot Brightening Dots
Propanediol,Microneedling Dark Spot Brightening Dots
Sodium Hyaluronate,Microneedling Dark Spot Brightening Dots
Tranexamic Acid,Microneedling Dark Spot Brightening Dots
Phenoxyethanol,Deep Cleansing Exfoliator
Allantoin,Deep Dive™ Glycolic Facial Cleanser
Aloe Vera,Deep Dive™ Glycolic Facial Cleanser
Caprylyl Glycol,Deep Dive™ Glycolic Facial Cleanser
Glycerin,Deep Dive™ Glycolic Facial Cleanser
Magnesium,Deep Dive™ Glycolic Facial Cleanser
Panthenol,Deep Dive™ Glycolic Facial Cleanser
Phenoxyethanol,Deep Dive™ Glycolic Facial Cleanser
Volcanic Ash,Deep Dive™ Glycolic Facial Cleanser
Allantoin,Dermask Intra Jet Wrinkless Solution™
Butylene Glycol,Dermask Intra Jet Wrinkless Solution™
Castor Oil,Dermask Intra Jet Wrinkless Solution™
Glycerin,Dermask Intra Jet Wrinkless Solution™
Propylene Glycol,Dermask Intra Jet Wrinkless Solution™
Allantoin,Dermask Micro Jet Clearing Solution™
Butylene Glycol,Dermask Micro Jet Clearing Solution™
Castor Oil,Dermask Micro Jet Clearing Solution™
Glycerin,Dermask Micro Jet Clearing Solution™
Phenoxyethanol,Dermask Micro Jet Clearing Solution™
Sodium Ascorbyl Phosphate,Dermask Micro Jet Clearing Solution™
Sodium Hyaluronate,Dermask Micro Jet Clearing Solution™
Triethanolamine,Dermask Micro Jet Clearing Solution™
Butylene Glycol,Dermask Water Jet Vital Hydra Solution™
Caprylyl Glycol,Dermask Water Jet Vital Hydra Solution™
Castor Oil,Dermask Water Jet Vital Hydra Solution™
Cyclopentasiloxane,Dermask Water Jet Vital Hydra Solution™
Dimethicone,Dermask Water Jet Vital Hydra Solution™
Glycerin,Dermask Water Jet Vital Hydra Solution™
Hyaluronic Acid,Dermask Water Jet Vital Hydra Solution™
Panthenol,Dermask Water Jet Vital Hydra Solution™
Phenoxyethanol,Detoxifying Black Charcoal Cleanser
Phenoxyethanol,Face Cream
Phenoxyethanol,Face Cream Rich
Phenoxyethanol,Hyaluronic Serum
Phenoxyethanol,Super Anti-Aging Serum
Butylene Glycol,Dramatically Different Moisturizing Gel
Caffeine,Dramatically Different Moisturizing Gel
Caprylyl Glycol,Dramatically Different Moisturizing Gel
Dimethicone,Dramatically Different Moisturizing Gel
Glycerin,Dramatically Different Moisturizing Gel
Phenoxyethanol,Dramatically Different Moisturizing Gel
Propylene Glycol,Dramatically Different Moisturizing Gel
Sodium Hyaluronate,Dramatically Different Moisturizing Gel
Butylene Glycol,Dramatically Different Moisturizing Lotion+
Glycerin,Dramatically Different Moisturizing Lotion+
Lanolin,Dramatically Different Moisturizing Lotion+
Mineral Oil,Dramatically Different Moisturizing Lotion+
Phenoxyethanol,Dramatically Different Moisturizing Lotion+
Propylene Glycol,Dramatically Different Moisturizing Lotion+
Sodium Hyaluronate,Dramatically Different Moisturizing Lotion+
Triethanolamine,Dramatically Different Moisturizing Lotion+
Phenoxyethanol,Been A Long Day™ Glycolic Serum + Moisturizer Duo
Phenoxyethanol,Lala Retro™ Whipped Moisturizer with Ceramides
Phenoxyethanol,Time to Wake Up™  Vitamin C + Hydration Serum Duo
Butylene Glycol,Dynamic Skin Recovery SPF50 Moisturizer
Cetearyl Alcohol,Dynamic Skin Recovery SPF50 Moisturizer
Cyclopentasiloxane,Dynamic Skin Recovery SPF50 Moisturizer
Dimethicone,Dynamic Skin Recovery SPF50 Moisturizer
Glycerin,Dynamic Skin Recovery SPF50 Moisturizer
Lysine,Dynamic Skin Recovery SPF50 Moisturizer
Phenoxyethanol,Dynamic Skin Recovery SPF50 Moisturizer
Sodium Hyaluronate,Dynamic Skin Recovery SPF50 Moisturizer
Magnesium,EradiKate™ Acne Treatment
Sulfur,EradiKate™ Acne Treatment
Butylene Glycol,EradiKate® Daily Cleanser Acne Treatment
Caprylyl Glycol,EradiKate® Daily Cleanser Acne Treatment
Glycerin,EradiKate® Daily Cleanser Acne Treatment
Phenoxyethanol,EradiKate® Daily Cleanser Acne Treatment
Castor Oil,Eudermine Revitalizing Essence 
